"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DEU","Germany","2016","2016",4862.6252,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DEU","Germany","2017","2017",5087.25427,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DEU","Germany","2018","2018",5239.97188,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DEU","Germany","2019","2019",5428.21538,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DEU","Germany","2020","2020",5413.82418,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DEU","Germany","2021","2021",5535.95429,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GRC","Greece","2015","2015",3202.90399,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GRC","Greece","2016","2016",2728.34421,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GRC","Greece","2017","2017",3264.14594,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GRC","Greece","2018","2018",3441.0649,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GRC","Greece","2019","2019",3684.86922,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GRC","Greece","2020","2020",4073.54743,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GRC","Greece","2021","2021",4326.3066,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HUN","Hungary","2015","2015",2568.34766,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HUN","Hungary","2016","2016",2624.60598,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HUN","Hungary","2017","2017",2901.01543,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HUN","Hungary","2018","2018",3845.49153,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HUN","Hungary","2019","2019",4020.57775,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HUN","Hungary","2020","2020",4308.95424,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HUN","Hungary","2021","2021",4452.15175,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ISL","Iceland","2015","2015",5903.85334,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ISL","Iceland","2016","2016",6629.2432,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ISL","Iceland","2017","2017",6054.68115,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ISL","Iceland","2018","2018",5879.26569,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ISL","Iceland","2021","2021",6940.41702,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","IRL","Ireland","2015","2015",5282.94951,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","IRL","Ireland","2016","2016",5184.71517,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","IRL","Ireland","2017","2017",5155.37079,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","IRL","Ireland","2018","2018",4749.61714,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","IRL","Ireland","2019","2019",4836.0744,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","IRL","Ireland","2020","2020",4858.6072,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","IRL","Ireland","2021","2021",5250.68228,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ITA","Italy","2015","2015",2087.55758,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ITA","Italy","2016","2016",2222.20841,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ITA","Italy","2017","2017",2336.93888,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ITA","Italy","2018","2018",2541.03826,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ITA","Italy","2019","2019",2688.64671,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ITA","Italy","2020","2020",2632.27982,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ITA","Italy","2021","2021",2677.84078,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","JPN","Japan","2015","2015",5198.09749,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","JPN","Japan","2016","2016",5235.15675,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","JPN","Japan","2017","2017",5331.27133,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","JPN","Japan","2018","2018",5361.96599,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","JPN","Japan","2019","2019",5409.53544,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","JPN","Japan","2020","2020",5495.25074,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","JPN","Japan","2021","2021",5638.41792,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","KOR","Republic of Korea","2015","2015",7018.35865,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","KOR","Republic of Korea","2016","2016",7056.34297,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","KOR","Republic of Korea","2017","2017",7450.5576,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","KOR","Republic of Korea","2018","2018",7913.5015,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","KOR","Republic of Korea","2019","2019",8322.58762,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","KOR","Republic of Korea","2020","2020",8614.63518,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","KOR","Republic of Korea","2021","2021",9081.93585,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","LUX","Luxembourg","2015","2015",4637.83878,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","LUX","Luxembourg","2016","2016",4802.84536,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","LUX","Luxembourg","2017","2017",4971.16521,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","LUX","Luxembourg","2018","2018",4756.47013,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","LUX","Luxembourg","2019","2019",5092.30827,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","LUX","Luxembourg","2020","2020",4690.30266,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","LUX","Luxembourg","2021","2021",4940.60373,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","MEX","Mexico","2015","2015",286.94249,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","MEX","Mexico","2016","2016",321.8083,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","MEX","Mexico","2017","2017",320.14698,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","MEX","Mexico","2018","2018",317.40691,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","MEX","Mexico","2019","2019",335.13871,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","MEX","Mexico","2020","2020",357.97889,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NLD","Netherlands","2015","2015",4911.12758,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NLD","Netherlands","2016","2016",5128.77161,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NLD","Netherlands","2017","2017",5302.34455,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NLD","Netherlands","2018","2018",5535.47607,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NLD","Netherlands","2019","2019",5640.24547,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NLD","Netherlands","2020","2020",5865.72665,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NLD","Netherlands","2021","2021",6074.31065,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NZL","New Zealand","2015","2015",5492.04192,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NZL","New Zealand","2017","2017",5098.76412,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NZL","New Zealand","2019","2019",5724.13122,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NZL","New Zealand","2021","2021",5102.2701,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NOR","Norway","2015","2015",5929.21678,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NOR","Norway","2016","2016",6120.12967,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NOR","Norway","2017","2017",6395.43983,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NOR","Norway","2018","2018",6483.52599,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NOR","Norway","2019","2019",6736.85143,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NOR","Norway","2020","2020",6765.33242,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","NOR","Norway","2021","2021",7227.93066,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","POL","Poland","2015","2015",2141.1824,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","POL","Poland","2016","2016",2288.0817,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","POL","Poland","2017","2017",2973.76616,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","POL","Poland","2018","2018",3056.76772,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","POL","Poland","2019","2019",3136.39045,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","POL","Poland","2020","2020",3238.20911,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","POL","Poland","2021","2021",3534.49865,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","PRT","Portugal","2015","2015",3724.79711,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","PRT","Portugal","2016","2016",3995.62552,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","PRT","Portugal","2017","2017",4355.7475,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","PRT","Portugal","2018","2018",4627.17238,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","PRT","Portugal","2019","2019",4879.31874,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","PRT","Portugal","2020","2020",5163.35335,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","PRT","Portugal","2021","2021",5473.44704,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SVK","Slovakia","2015","2015",2656.80214,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SVK","Slovakia","2016","2016",2607.20126,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SVK","Slovakia","2017","2017",2801.07321,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SVK","Slovakia","2018","2018",3001.40432,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SVK","Slovakia","2019","2019",3114.86275,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SVK","Slovakia","2020","2020",3165.59494,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SVK","Slovakia","2021","2021",3211.04404,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ESP","Spain","2015","2015",2636.84759,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ESP","Spain","2016","2016",2727.42868,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ESP","Spain","2017","2017",2863.75013,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ESP","Spain","2018","2018",3003.56286,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ESP","Spain","2019","2019",3067.66122,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ESP","Spain","2020","2020",3071.44816,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ESP","Spain","2021","2021",3251.74281,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SWE","Sweden","2015","2015",6810.78998,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SWE","Sweden","2016","2016",7107.98056,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SWE","Sweden","2017","2017",7308.65913,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SWE","Sweden","2018","2018",7433.21055,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SWE","Sweden","2019","2019",7697.83607,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SWE","Sweden","2020","2020",7759.49884,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","SWE","Sweden","2021","2021",8130.79112,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CHE","Switzerland","2015","2015",5310.23732,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CHE","Switzerland","2017","2017",5258.54316,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CHE","Switzerland","2019","2019",5562.95061,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CHE","Switzerland","2021","2021",6022.74647,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","TUR","Türkiye","2015","2015",1205.0807,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","TUR","Türkiye","2016","2016",1246.89301,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","TUR","Türkiye","2017","2017",1369.34598,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","TUR","Türkiye","2018","2018",1530.90472,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","TUR","Türkiye","2019","2019",1629.73242,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","TUR","Türkiye","2020","2020",1786.51708,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","TUR","Türkiye","2021","2021",1999.53412,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GBR","United Kingdom of Great Britain and Northern Ireland","2015","2015",4397.22208,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GBR","United Kingdom of Great Britain and Northern Ireland","2016","2016",4448.35197,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GBR","United Kingdom of Great Britain and Northern Ireland","2017","2017",4491.317,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","USA","United States of America","2015","2015",3874.7866,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","USA","United States of America","2016","2016",3830.4626,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","USA","United States of America","2017","2017",3958.56396,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","USA","United States of America","2018","2018",4261.98949,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","USA","United States of America","2019","2019",4308.87396,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","USA","United States of America","2020","2020",4451.78104,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ARG","Argentina","2015","2015",1231.48661,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ARG","Argentina","2016","2016",1260.70106,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ARG","Argentina","2017","2017",1212.45726,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ARG","Argentina","2018","2018",1227.40422,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ARG","Argentina","2019","2019",1231.51703,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ARG","Argentina","2020","2020",1256.26405,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ARG","Argentina","2021","2021",1283.79869,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BGR","Bulgaria","2015","2015",1939.14416,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BGR","Bulgaria","2016","2016",2198.80821,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BGR","Bulgaria","2017","2017",2092.08124,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BGR","Bulgaria","2018","2018",2310.61903,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BGR","Bulgaria","2019","2019",2391.02454,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BGR","Bulgaria","2020","2020",2377.55574,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BGR","Bulgaria","2021","2021",2339.25243,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","COL","Colombia","2015","2015",70.47698,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","COL","Colombia","2016","2016",90.92885,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","COL","Colombia","2017","2017",89.86123,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CRI","Costa Rica","2015","2015",493.01919,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CRI","Costa Rica","2016","2016",523.11853,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CRI","Costa Rica","2017","2017",378.87941,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CRI","Costa Rica","2018","2018",343.77862,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CRI","Costa Rica","2020","2020",365.69417,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CRI","Costa Rica","2021","2021",399.35022,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HRV","Croatia","2015","2015",1490.76729,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HRV","Croatia","2016","2016",1837.36663,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HRV","Croatia","2017","2017",1856.81189,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HRV","Croatia","2018","2018",1912.06832,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HRV","Croatia","2019","2019",2127.93472,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HRV","Croatia","2020","2020",2214.7751,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","HRV","Croatia","2021","2021",2330.90633,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CYP","Cyprus","2015","2015",1010.61619,"+","National Estimation"
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CYP","Cyprus","2016","2016",1058.56405,"+","National Estimation"
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CYP","Cyprus","2017","2017",1209.63685,"+","National Estimation"
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CYP","Cyprus","2018","2018",1408.18017,"+","National Estimation"
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CYP","Cyprus","2019","2019",1657.72538,"+","National Estimation"
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CYP","Cyprus","2020","2020",1739.85507,"+","National Estimation"
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CYP","Cyprus","2021","2021",1743.28995,"+","National Estimation"
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EGY","Egypt","2015","2015",643.47651,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EGY","Egypt","2016","2016",659.06477,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EGY","Egypt","2017","2017",647.85695,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EGY","Egypt","2018","2018",657.59182,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EGY","Egypt","2019","2019",791.01117,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EGY","Egypt","2020","2020",804.91071,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EGY","Egypt","2021","2021",821.7045,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EST","Estonia","2015","2015",3188.26123,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EST","Estonia","2016","2016",3296.20731,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EST","Estonia","2017","2017",3552.23048,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EST","Estonia","2018","2018",3765.62187,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EST","Estonia","2019","2019",3769.83693,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EST","Estonia","2020","2020",3835.71868,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","EST","Estonia","2021","2021",4038.19516,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","ETH","Ethiopia","2017","2017",90.24062,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GTM","Guatemala","2015","2015",22.70032,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","GTM","Guatemala","2016","2016",22.67179,,
